Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:46 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=50, sum[0...50]=1275, running on CPU=3, start=1726016986.735662, stop=1726016986.975426
Sep 10 21:09:47 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=51, sum[0...51]=1326, running on CPU=3, start=1726016986.975576, stop=1726016987.219779
Sep 10 21:09:47 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=52, sum[0...52]=1378, running on CPU=3, start=1726016987.219922, stop=1726016987.517236
Sep 10 21:09:47 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=53, sum[0...53]=1431, running on CPU=3, start=1726016987.517398, stop=1726016987.771069
Sep 10 21:09:48 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=54, sum[0...54]=1485, running on CPU=3, start=1726016987.771221, stop=1726016988.028780
Sep 10 21:09:48 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=55, sum[0...55]=1540, running on CPU=3, start=1726016988.028932, stop=1726016988.290929
Sep 10 21:09:48 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=56, sum[0...56]=1596, running on CPU=3, start=1726016988.291079, stop=1726016988.610134
Sep 10 21:09:48 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=57, sum[0...57]=1653, running on CPU=3, start=1726016988.610279, stop=1726016988.881718
Sep 10 21:09:49 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=58, sum[0...58]=1711, running on CPU=3, start=1726016988.881867, stop=1726016989.157218
Sep 10 21:09:49 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=59, sum[0...59]=1770, running on CPU=3, start=1726016989.157371, stop=1726016989.485265
Sep 10 21:09:49 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=60, sum[0...60]=1830, running on CPU=3, start=1726016989.485412, stop=1726016989.770187
Sep 10 21:09:50 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=61, sum[0...61]=1891, running on CPU=3, start=1726016989.770340, stop=1726016990.059593
Sep 10 21:09:50 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=62, sum[0...62]=1953, running on CPU=3, start=1726016990.059741, stop=1726016990.353176
Sep 10 21:09:50 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=63, sum[0...63]=2016, running on CPU=3, start=1726016990.353326, stop=1726016990.703044
Sep 10 21:09:51 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=64, sum[0...64]=2080, running on CPU=3, start=1726016990.703201, stop=1726016991.005852
Sep 10 21:09:51 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=65, sum[0...65]=2145, running on CPU=3, start=1726016991.006000, stop=1726016991.313048
Sep 10 21:09:51 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=66, sum[0...66]=2211, running on CPU=3, start=1726016991.313198, stop=1726016991.672208
Sep 10 21:09:51 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=67, sum[0...67]=2278, running on CPU=3, start=1726016991.672357, stop=1726016991.987739
Sep 10 21:09:52 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=68, sum[0...68]=2346, running on CPU=3, start=1726016991.987896, stop=1726016992.308300
Sep 10 21:09:52 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=69, sum[0...69]=2415, running on CPU=3, start=1726016992.308448, stop=1726016992.685346
Sep 10 21:09:53 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=70, sum[0...70]=2485, running on CPU=3, start=1726016992.685498, stop=1726016993.014230
